# -------------------------------------------------------------------------
#
#  Copyright (c) 1999 Network Appliance, Inc.
#  All rights reserved.
#
# -------------------------------------------------------------------------
#
#  This file maps the short MIB names in the first column to the
#  SNMP object identifier (OID) in the second column.  These OIDs
#  are appropriate for use with the "snmp traps" command for defining
#  your own traps.  See the online documentation for details.
#
#  Refer to the appropriate MIB (rfc1213.mib or netapp.mib) for
#  a complete description of each object.
#
# -------------------------------------------------------------------------

v3cpReadlinks                  snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.6.0
v3cpReads                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.7.0
v3cpWrites                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.8.0
v3cpCreates                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.9.0
v3cpMkdirs                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.10.0
v3cpSymlinks                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.11.0
v3cpMknods                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.12.0
v3cpRemoves                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.13.0
v3cpRmdirs                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.14.0
v3cpRenames                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.15.0
v3cpLinks                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.16.0
v3cpReaddirs                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.17.0
v3cpReaddirPluss               snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.18.0
v3cpFsstats                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.19.0
v3cpFsinfos                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.20.0
v3cpPathconfs                  snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.21.0
v3cpCommits                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.22.0
rcInProgressHits               snmp.1.3.6.1.4.1.789.1.3.1.2.5.1.0
rcDelayHits                    snmp.1.3.6.1.4.1.789.1.3.1.2.5.2.0
rcMisses                       snmp.1.3.6.1.4.1.789.1.3.1.2.5.3.0
rcNonIdemDoneHits              snmp.1.3.6.1.4.1.789.1.3.1.2.5.4.0
rcNonIdemNotDoneHits           snmp.1.3.6.1.4.1.789.1.3.1.2.5.5.0
pclIpAddr                      snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.1.1
pclRpcCalls                    snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.2.1
pclRpcBadCalls                 snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.3.1
pclRpcNullRecvs                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.4.1
pclRpcBadLens                  snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.5.1
pclRpcServXDRCalls             snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.6.1
pclNfsCalls                    snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.7.1
pclNfsServBadCalls             snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.8.1
pclNfsV2Nulls                  snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.9.1
pclNfsV2Getattrs               snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.10.1
pclNfsV2Setattrs               snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.11.1
pclNfsV2Roots                  snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.12.1
pclNfsV2Lookups                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.13.1
pclNfsV2Readlinks              snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.14.1
pclNfsV2Reads                  snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.15.1
pclNfsV2Wrcaches               snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.16.1
pclNfsV2Writes                 snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.17.1
pclNfsV2Creates                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.18.1
pclNfsV2Removes                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.19.1
pclNfsV2Renames                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.20.1
pclNfsV2Links                  snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.21.1
pclNfsV2Symlinks               snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.22.1
pclNfsV2Mkdirs                 snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.23.1
pclNfsV2Rmdirs                 snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.24.1
pclNfsV2Readdirs               snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.25.1
pclNfsV2Statfss                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.26.1
pclNfsV3Nulls                  snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.27.1
pclNfsV3Getattrs               snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.28.1
pclNfsV3Setattrs               snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.29.1
pclNfsV3Lookups                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.30.1
pclNfsV3Accesss                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.31.1
pclNfsV3Readlinks              snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.32.1
pclNfsV3Reads                  snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.33.1
pclNfsV3Writes                 snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.34.1
pclNfsV3Creates                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.35.1
pclNfsV3Mkdirs                 snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.36.1
pclNfsV3Symlinks               snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.37.1
pclNfsV3Mknods                 snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.38.1
pclNfsV3Removes                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.39.1
pclNfsV3Rmdirs                 snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.40.1
pclNfsV3Renames                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.41.1
pclNfsV3Links                  snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.42.1
pclNfsV3Readdirs               snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.43.1
pclNfsV3ReaddirPluss           snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.44.1
pclNfsV3Fsstats                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.45.1
pclNfsV3Fsinfos                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.46.1
pclNfsV3Pathconfs              snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.47.1
pclNfsV3Commits                snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.48.1
pclPerCent                     snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.49.1
pclNfsV2NullPerCent            snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.50.1
pclNfsV2GetattrPerCent         snmp.1.3.6.1.4.1.789.1.3.1.3.1.1.51.1
